station_id,station_name,latitude,longitude,city_id,city_name
GHCND:USC00279866,"WOLFEBORO, NH US",43.6,-71.23333,CITY:US330005,"Laconia, NH US"
GHCND:USW00014745,"CONCORD ASOS, NH US",43.2049,-71.50274,CITY:US330006,"Manchester, NH US"
GHCND:USW00014781,"AYER, MA US",42.56667,-71.6,CITY:US330007,"Nashua, NH US"
GHCND:USW00054795,"DURHAM 2 SSW, NH US",43.1092,-70.9484,CITY:US330008,"Portsmouth, NH US"
GHCND:USW00054795,"DURHAM 2 SSW, NH US",43.1092,-70.9484,CITY:US330009,"Rochester, NH US"
GHCND:USW00094741,"TETERBORO AIRPORT, NJ US",40.85,-74.06139,CITY:US340001,"Jersey City, NJ US"
GHCND:USW00014780,"LAKEHURST NAS, NJ US",40.03333,-74.35,CITY:US340002,"Lakewood, NJ US"
GHCND:USW00094741,"TETERBORO AIRPORT, NJ US",40.85,-74.06139,CITY:US340003,"Newark, NJ US"
GHCND:USW00093730,"ATLANTIC CITY INTERNATIONAL AIRPORT, NJ US",39.45202,-74.56699,CITY:US340004,"Pleasantville, NJ US"
GHCND:USW00014780,"LAKEHURST NAS, NJ US",40.03333,-74.35,CITY:US340005,"Toms River, NJ US"
GHCND:USW00014792,"TRENTON MERCER CO AIRPORT, NJ US",40.27679,-74.81594,CITY:US340006,"Trenton, NJ US"
GHCND:USW00013735,"MILLVILLE MUNICIPAL AIRPORT, NJ US",39.36623,-75.0778,CITY:US340007,"Vineland, NJ US"
GHCND:USW00023002,"HOLLOMAN AFB, NM US",32.85,-106.1,CITY:US350001,"Alamogordo, NM US"
GHCND:USW00023050,"ALBUQUERQUE INTERNATIONAL AIRPORT, NM US",35.0419,-106.6155,CITY:US350002,"Albuquerque, NM US"
GHCND:USW00093033,"CAVERN CITY AIRPORT, NM US",32.3335,-104.258,CITY:US350003,"Carlsbad, NM US"
GHCND:USW00053008,"CLOVIS 7 N, NM US",34.5119,-103.1744,CITY:US350004,"Clovis, NM US"
GHCND:USW00023078,"DEMING MUNICIPAL AIRPORT, NM US",32.26222,-107.72056,CITY:US350005,"Deming, NM US"
GHCND:USW00023090,"FARMINGTON FOUR CORNERS REGIONAL AIRPORT, NM US",36.74361,-108.22917,CITY:US350006,"Farmington, NM US"
GHCND:USW00023081,"GALLUP MUNICIPAL AIRPORT, NM US",35.5144,-108.794,CITY:US350007,"Gallup, NM US"
GHCND:USC00298535,"STATE UNIVERSITY, NM US",32.2823,-106.7598,CITY:US350008,"Las Cruces, NM US"
GHCND:USW00023043,"ROSWELL MUNICIPAL AIRPORT, NM US",33.4,-104.53333,CITY:US350009,"Roswell, NM US"
GHCND:USW00023049,"SANTA FE CO MUNICIPAL AIRPORT, NM US",35.61694,-106.08889,CITY:US350010,"Santa Fe, NM US"
GHCND:USW00093063,"SILVER CITY GRANT CO AIRPORT, NM US",32.63333,-108.16667,CITY:US350011,"Silver City, NM US"
GHCND:USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",42.74722,-73.79912,CITY:US360001,"Albany, NY US"
GHCND:USW00004782,"SCHENECTADY, NY US",42.83333,-73.91667,CITY:US360002,"Amsterdam, NY US"
GHCND:USW00014798,"BINGHAMTON WEATHER BUREAU CITY, NY US",42.1,-75.91667,CITY:US360003,"Binghamton, NY US"
GHCND:USW00054787,"FARMINGDALE REPUBLIC AIRPORT, NY US",40.73417,-73.41694,CITY:US360004,"Brentwood, NY US"
GHCND:USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,CITY:US360005,"Brooklyn, NY US"
GHCND:USW00014733,"BUFFALO NIAGARA INTERNATIONAL, NY US",42.9408,-78.7358,CITY:US360006,"Buffalo, NY US"
GHCND:USW00054787,"FARMINGDALE REPUBLIC AIRPORT, NY US",40.73417,-73.41694,CITY:US360007,"Commack, NY US"
GHCND:USW00054790,"SHIRLEY BROOKHAVEN AIRPORT, NY US",40.82167,-72.86889,CITY:US360008,"Coram, NY US"
